Question,Question ID,Question description,Data Type,Parent Question
Print sources for understanding this subject:,4651,,Qualitative,
Online sources for understanding this subject:,4652,,Qualitative,
Relevant online primary textual corpora (original languages and/or translations):,4653,,Qualitative,
Are other religious groups in cultural contact with target religion:,4654,,Nominal,
Is the cultural contact competitive:,4655,,Nominal,Are other religious groups in cultural contact with target religion:
Is the cultural contact accommodating/pluralistic:,4656,,Nominal,Are other religious groups in cultural contact with target religion:
Is the cultural contact neutral:,4657,,Nominal,Are other religious groups in cultural contact with target religion:
Is there violent conflict (within sample region):,4658,,Nominal,Are other religious groups in cultural contact with target religion:
Is there violent conflict (with groups outside the sample region):,4659,,Nominal,Are other religious groups in cultural contact with target religion:
Does the religious group have a general process/system for assigning religious affiliation:,4660,,Nominal,
Assigned at birth (membership is default for this society):,4661,,Nominal,Does the religious group have a general process/system for assigning religious affiliation:
Assigned by personal choice:,4662,,Nominal,Does the religious group have a general process/system for assigning religious affiliation:
Assigned by class:,4663,,Nominal,Does the religious group have a general process/system for assigning religious affiliation:
Assigned at a specific age:,4664,,Nominal,Does the religious group have a general process/system for assigning religious affiliation:
Assigned by gender:,4665,,Nominal,Does the religious group have a general process/system for assigning religious affiliation:
Assigned by participation in a particular ritual:,4666,,Nominal,Does the religious group have a general process/system for assigning religious affiliation:
Assigned by some other factor:,4667,,Nominal,Does the religious group have a general process/system for assigning religious affiliation:
Does the religious group actively proselytize and recruit new members:,4668,,Nominal,
Is proselytizing mandated for religious professionals:,4669,,Nominal,Does the religious group actively proselytize and recruit new members:
Is proselytizing mandated for all adherents:,4670,,Nominal,Does the religious group actively proselytize and recruit new members:
Is missionary work mandated for religious professionals:,4671,,Nominal,Does the religious group actively proselytize and recruit new members:
Is missionary work mandated for all adherents:,4672,,Nominal,Does the religious group actively proselytize and recruit new members:
Is proselytization coercive:,4673,,Nominal,Does the religious group actively proselytize and recruit new members:
Does the coercion take the form of physical force:,4674,,Nominal,Is proselytization coercive:
Does the coercion take the form of economic sanctions:,4675,,Nominal,Is proselytization coercive:
Does the religion have official political support,4676,,Nominal,
Are the priests paid by polity:,4677,,Nominal,Does the religion have official political support
Is religious infrastructure paid for by the polity:,4678,,Nominal,Does the religion have official political support
Are the head of the polity and the head of the religion the same figure:,4679,,Nominal,Does the religion have official political support
Are political officials equivalent to religious officials:,4680,,Nominal,Does the religion have official political support
Is religious observance enforced by the polity:,4681,,Nominal,Does the religion have official political support
Polity legal code is roughly coterminous with religious code:,4682,,Nominal,Does the religion have official political support
"Polity provides preferential economic treatment (e.g. tax, exemption)",4683,,Nominal,Does the religion have official political support
Is there a conception of apostasy in the religious group:,4684,,Nominal,
Are apostates prosecuted or punished:,4685,,Nominal,Is there a conception of apostasy in the religious group:
Apostates are socially shunned and/or publicly vilified:,4686,,Nominal,Are apostates prosecuted or punished:
"Wealth, civil rights, and/or social capital are taken by authorities:",4687,,Nominal,Are apostates prosecuted or punished:
Do apostates receive corporal punishment:,4688,,Nominal,Are apostates prosecuted or punished:
"Apostates are physically marked as such (e.g. branding, mutilation):",4689,,Nominal,Do apostates receive corporal punishment:
Apostates are executed:,4690,,Nominal,Do apostates receive corporal punishment:
Apostates are publicly executed:,4691,,Nominal,Do apostates receive corporal punishment:
Other corporal punishment:,4692,,Nominal,Do apostates receive corporal punishment:
Do apostates receive divine punishment:,4693,,Nominal,Are apostates prosecuted or punished:
Punished in the afterlife:,4694,,Nominal,Do apostates receive divine punishment:
"Cursed by ""high god"":",4695,,Nominal,Do apostates receive divine punishment:
Cursed by other supernatural being(s):,4696,,Nominal,Do apostates receive divine punishment:
Other divine punishment:,4697,,Nominal,Do apostates receive divine punishment:
"Number of adherents of religious group within sample region (estimated population, numerical):",4699,,Discrete,
"Number of adherents of religious group within sample region (% of sample region population, numerical):",4700,,Continuous,
Nature of religious group [please select one]:,4698,,Nominal - Other,
Are there recognized leaders in the religious group:,4701,,Nominal,
Is there a hierarchy among these leaders:,4702,,Nominal,Are there recognized leaders in the religious group:
A single leader of a local community:,4703,,Nominal,Is there a hierarchy among these leaders:
"Multiple religious communities each with its own leader, no hierarchy among these leaders:",4704,,Nominal,Is there a hierarchy among these leaders:
"""Regional"" leaders who oversee one or more local leader(s) (e.g. bishops):",4705,,Nominal,Is there a hierarchy among these leaders:
A single leader for the religious group that oversees all other leaders in the sample region:,4706,,Nominal,Is there a hierarchy among these leaders:
A council or group of leaders for the religious group that oversees all other leaders in the sample region:,4707,,Nominal,Is there a hierarchy among these leaders:
Estimate how many levels there are in the hierarchy of religious leadership:,4708,,Discrete,Is there a hierarchy among these leaders:
Are leaders believed to possess supernatural powers or qualities:,4709,,Nominal,Are there recognized leaders in the religious group:
Powers are acquired by individual deeds carried out in past lives:,4710,,Nominal,Are leaders believed to possess supernatural powers or qualities:
Powers are acquired by individual deeds carried out in the current life:,4711,,Nominal,Are leaders believed to possess supernatural powers or qualities:
Powers are inherited:,4712,,Nominal,Are leaders believed to possess supernatural powers or qualities:
Powers are culturally transmitted from a supernatural being:,4713,,Nominal,Are leaders believed to possess supernatural powers or qualities:
Powers are culturally transmitted from another human (e.g. teacher):,4714,,Nominal,Are leaders believed to possess supernatural powers or qualities:
Powers are associated with leadership office they assume:,4715,,Nominal,Are leaders believed to possess supernatural powers or qualities:
Are religious leaders chosen:,4716,,Nominal,Are there recognized leaders in the religious group:
A leader chooses his/her own replacement:,4717,,Nominal,Are religious leaders chosen:
A leader’s retinue or ministers chooses the new leader:,4718,,Nominal,Are religious leaders chosen:
Other leaders in the religious group choose that leader:,4719,,Nominal,Are religious leaders chosen:
A political leader chooses the leader:,4720,,Nominal,Are religious leaders chosen:
Other members of the leader’s congregation choose the leader:,4721,,Nominal,Are religious leaders chosen:
All members of the religious group in the sample region participate in choosing the leader:,4722,,Nominal,Are religious leaders chosen:
Communication with supernatural power(s) believed to be part of the selection process:,4723,,Nominal,Are religious leaders chosen:
Are leaders considered fallible:,4724,,Nominal,Are there recognized leaders in the religious group:
Charges of fallibility made by a leader's own followers:,4725,,Nominal,Are leaders considered fallible:
Charges of fallibility made by other leaders in the religious group:,4726,,Nominal,Are leaders considered fallible:
Charges of fallibility made by a political ruler:,4727,,Nominal,Are leaders considered fallible:
Are close followers or disciples of a religious leader required to obediently and unquestionably accept the leader's pronouncements on all matters:,4728,,Nominal,Are there recognized leaders in the religious group:
Does the religious group have scriptures:,4729,"Scripture is a generic term used to designate revered texts that are considered particularly authoritative and sacred relative to other texts. Strictly speaking, it refers to written texts, but there are also “oral scriptures” (e.g. the Vedas of India).",Nominal,
Are they written:,4730,,Nominal,Does the religious group have scriptures:
Are they oral:,4731,,Nominal,Does the religious group have scriptures:
Is there a story (or a set of stories) associated with the origin of scripture:,4732,,Nominal,Does the religious group have scriptures:
