Question ID,Related question ID
2330,4651
5230,4651
5657,4651
6334,4651
6758,4651
7598,4651
2248,4689
2310,4694
2361,4698
6888,4698
7728,4698
2292,4703
2368,4702
5626,4702
6050,4702
6727,4702
6840,4702
7680,4702
2353,4710
5182,3161
7557,3161
8397,3161
2271,4655
2316,4654
2257,4717
2273,4725
2253,4730
5647,4730
6071,4730
6748,4730
2287,4733
6848,4733
7688,4733
2330,6334
4651,6334
5230,6334
5657,6334
6758,6334
7598,6334
2291,4741
6857,4741
7697,4741
2347,4729
5646,4729
6070,4729
6747,4729
6845,4729
7685,4729
2276,4746
5319,4746
5743,4746
6420,4746
2265,4745
5318,4745
5742,4745
6419,4745
2279,4753
6778,4753
7618,4753
2864,4788
7100,4788
7940,4788
2330,5657
4651,5657
5230,5657
6334,5657
6758,5657
7598,5657
3084,4661
2232,4669
6894,4669
7734,4669
2272,4674
6910,4674
7750,4674
2268,4761
2246,4763
5564,4763
5979,4763
6656,4763
7055,4763
7895,4763
2326,4765
6799,4765
7639,4765
2357,4767
5397,4767
5821,4767
6498,4767
6802,4767
7642,4767
5233,6337
5660,6337
5237,6341
5664,6341
5236,6340
5663,6340
5239,5666
6343,5666
5239,6343
5666,6343
2323,4677
6819,4677
7659,4677
2908,4777
7078,4777
7918,4777
2868,4776
7077,4776
7917,4776
6293,4776
6228,4776
6294,4776
6229,4776
2975,4782
7091,4782
7931,4782
2914,4781
7090,4781
7930,4781
2981,4795
5414,4795
5838,4795
6515,4795
7110,4795
7950,4795
2855,4798
2234,4685
2857,4810
7123,4810
7963,4810
5426,4810
5850,4810
6527,4810
2951,4809
5424,4809
5848,4809
6525,4809
7122,4809
7962,4809
2851,4815
5432,4815
5856,4815
6533,4815
7130,4815
7970,4815
2881,4817
5434,4817
5858,4817
6535,4817
7132,4817
7972,4817
2961,4822
5439,4822
5863,4822
6540,4822
7136,4822
7976,4822
6784,4822
7624,4822
2941,4829
5445,4829
5869,4829
6546,4829
7153,4829
7993,4829
2235,4686
3263,4839
7163,4839
8003,4839
3237,4850
7174,4850
8014,4850
4733,2287
6848,2287
7688,2287
3301,4859
5455,4859
5879,4859
6556,4859
7186,4859
8026,4859
2919,4828
5444,4828
5868,4828
6545,4828
7152,4828
7992,4828
2854,4867
5463,4867
5887,4867
6564,4867
7200,4867
8040,4867
3180,4870
7203,4870
8043,4870
2853,4881
7214,4881
8054,4881
2330,5230
4651,5230
5657,5230
6334,5230
6758,5230
7598,5230
5660,5233
6337,5233
5664,5237
6341,5237
5663,5236
6340,5236
5666,5239
6343,5239
5668,5241
6345,5241
5677,5250
6354,5250
5676,5249
6353,5249
5680,5253
6357,5253
5682,5255
6359,5255
5687,5261
6364,5261
5690,5264
6367,5264
5695,5269
6372,5269
5675,5248
6352,5248
5698,5272
6375,5272
5697,5271
6374,5271
5701,5275
6378,5275
5709,5285
6386,5285
5711,5287
6388,5287
5713,5289
6390,5289
5717,5293
6394,5293
5719,5295
6396,5295
5738,5314
6415,5314
2276,5319
4746,5319
5743,5319
6420,5319
5749,5325
6426,5325
5762,5338
6439,5338
5768,5344
6445,5344
5774,5350
6451,5350
5773,5349
6450,5349
5778,5354
6455,5354
5784,5360
6461,5360
5789,5365
6466,5365
5791,5367
6468,5367
5796,5372
6473,5372
5801,5377
6478,5377
5815,5391
6492,5391
5772,5348
6449,5348
2357,5397
4767,5397
5821,5397
6498,5397
6802,5397
7642,5397
5820,5396
6497,5396
2307,5396
4766,5396
6801,5396
7641,5396
5832,5408
6509,5408
7143,5408
7983,5408
2851,5432
4815,5432
5856,5432
6533,5432
7130,5432
7970,5432
2881,5434
4817,5434
5858,5434
6535,5434
7132,5434
7972,5434
2941,5445
4829,5445
5869,5445
6546,5445
7153,5445
7993,5445
2919,5444
4828,5444
5868,5444
6545,5444
7152,5444
7992,5444
2854,5463
