SCCS_ID,SCCS_Name,DRH_ID,DRH_Name
1,Nama Hottentot,737,Nama Hottentot
2,Kung Bushmen,614,!Kung
3,Thonga,1251,Tsonga
8,Nyakyusa,588,Nyakyusa
11,Kikuyu,729,Kikuyu
12,Ganda,577,Ganda
16,Tiv,1199,Tiv
17,Ibo,717,Igbo
19,Ashanti,1234,Ashanti
20,Mende,1210,Mende
21,Wolof,594,Wolof
22,Bambara,604,Bambara
23,Tallensi,609,Tallensi
28,Azande,1240,Azande
29,Fur (Darfur),691,Fur
31,Shilluk,1246,Shilluk
34,Masai,598,Masai
35,Konso,574,Konso
36,Somali,610,Somali
37,Amhara,602,Amhara
42,Riffians,600,Riffians
43,Egyptians,565,Fellahin
46,Rwala Bedouin,744,Rwala Bedouin
55,Abkhaz,571,Abkhaz
57,Kurd,608,Kurd
59,Punjabi (West),1095,Punjabi (West)
60,Gond,578,Gond
61,Toda,1223,Toda
62,Santal,679,Santal
66,Khalka Mongols,569,Khalka Mongols
68,Lepcha,599,Lepcha
69,Garo,766,Garo
70,Lakher,682,Lakher
71,Burmese,605,Burmese
72,Lamet,748,Lamet
76,Siamese,582,Siamese (Central Thai)
77,Semang,721,Semang
83,Javanese,611,Javanese
84,Balinese,616,Balinese
85,Iban,660,Iban
86,Badjau,685,Badjau
90,Tiwi,652,Tiwi
91,Aranda,630,Aranda
92,Orokaiva,669,Orokaiva
94,Kapauku,651,Kapauku
95,Kwoma,711,Kwoma
96,Manus,650,Manus
97,New Ireland,1228,Lesu
98,Trobrianders,572,Trobrianders
99,Siuai,666,Siuai
100,Tikopia,627,Tikopia
101,Pentecost,728,Pentecost
102,Mbau Fijians,671,Mbau Fijians
104,Maori,613,Maori
105,Marquesans,732,Marquesans
106,Western Samoans,595,Western Samoans
108,Marshallese,612,Marshallese
109,Trukese,657,Trukese
110,Yapese,677,Yapese
112,Ifugao,635,Ifugao
116,Koreans,591,Koreans
118,Ainu,667,Ainu
119,Gilyak,619,Gilyak
121,Chukchee,675,Chukchee
124,Copper Eskimo,625,Copper Inuit
127,Saulteaux,713,Northern Saulteaux
129,Kaska,733,Kaska
130,Eyak,694,Eyak
131,Haida,648,Haida
132,Bellacoola,618,Nuxalk
133,Twana,1110,Twana
138,Klamath,638,Klamath
140,Gros Ventre,722,Gros Ventre
141,Hidatsa,710,Hidatsa
142,Pawnee,673,Pawnee
143,Omaha,794,Omaha
144,Huron,684,Huron
146,Natchez,1101,Natchez
147,Comanche,759,Comanche
150,Havasupai,647,Havasupai
151,Papago,620,Papago
152,Huichol,712,Huichol
154,Popoluca,686,Popoluca
155,Quiche,1196,K’iche’ (Quiché)
156,Miskito,622,Miskito
159,Goajiro,662,Goajiro
160,Haitians,621,Haitians
162,Warrau,589,Warrau
164,Carib (Barama),626,Barama River Carib
166,Mundurucu,768,Mundurucu
168,Cayapa,631,Cayapa
169,Jivaro,736,Jivaro
172,Aymara,674,Aymara
173,Siriono,655,Siriono
175,Trumai,723,Trumai
176,Timbira,764,Timbira (Canela)
180,Aweikoma,724,Aweikoma
182,Lengua,689,Lengua
184,Mapuche,658,Mapuche
186,Yahgan,637,Yahgan
