Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
Are co-sacrifices present in tomb/burial:,4808,1,1,1.01,1.03,1.04,,,,,
Are co-sacrifices present in tomb/burial:,4808,1,2,1.19,1.04,1.04,1.19,,,,
Are co-sacrifices present in tomb/burial:,4808,1,3,1.22,1.25,1.07,1.21,1.23,,,
Are co-sacrifices present in tomb/burial:,4808,1,4,1.52,1.25,1.09,1.27,1.81,1.81,,
Are co-sacrifices present in tomb/burial:,4808,1,5,1.58,1.25,1.09,1.27,1.92,1.9,1.08,
Are co-sacrifices present in tomb/burial:,4808,1,6,,,,,,,,
Are co-sacrifices present in tomb/burial:,4808,2,1,1.03,1.07,1.08,,,,,
Are co-sacrifices present in tomb/burial:,4808,2,2,1.26,1.08,1.08,1.23,,,,
Are co-sacrifices present in tomb/burial:,4808,2,3,1.51,2.71,1.13,1.33,2.8,,,
Are co-sacrifices present in tomb/burial:,4808,2,4,1.85,3.04,1.14,1.36,3.63,2.93,,
Are co-sacrifices present in tomb/burial:,4808,2,5,1.85,3.04,1.17,1.36,3.73,2.94,1.08,
Are co-sacrifices present in tomb/burial:,4808,2,6,1.85,3.04,1.28,1.88,3.74,2.96,1.09,1.63
Are co-sacrifices present in tomb/burial:,4808,3,1,1.01,2.98,3,,,,,
Are co-sacrifices present in tomb/burial:,4808,3,2,1.38,3.15,3.11,1.38,,,,
Are co-sacrifices present in tomb/burial:,4808,3,3,1.33,4.39,4.41,1.41,1.28,,,
Are co-sacrifices present in tomb/burial:,4808,3,4,1.98,4.4,4.56,1.71,1.28,1.72,,
Are co-sacrifices present in tomb/burial:,4808,3,5,2.38,4.45,4.65,1.76,1.35,2.3,1.47,
Are co-sacrifices present in tomb/burial:,4808,3,6,2.48,4.6,4.7,2.04,1.98,2.5,1.49,1.73
Are co-sacrifices present in tomb/burial:,4808,4,1,1.01,2.21,2.23,,,,,
Are co-sacrifices present in tomb/burial:,4808,4,2,1.4,2.3,2.28,1.41,,,,
Are co-sacrifices present in tomb/burial:,4808,4,3,1.52,2.49,2.44,1.62,1.23,,,
Are co-sacrifices present in tomb/burial:,4808,4,4,1.98,2.48,2.48,1.95,1.25,1.5,,
Are co-sacrifices present in tomb/burial:,4808,4,5,2.2,2.49,2.51,2.01,1.35,1.83,1.34,
Are co-sacrifices present in tomb/burial:,4808,4,6,2.35,2.97,2.97,2.47,1.98,1.92,1.34,1.79
