Question,Question ID,Variable,coefficients_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,adjust_p_value_4,sig_4,AIC_4
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,(Intercept),0.81,5.5e-19,***,384.28,0.98,1.6e-19,***,217.36,-5.33,1,,95.73,-4.58,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_temp_avg,-0.08,1,,384.28,0.06,1,,217.36,-0.04,1,,95.73,-0.32,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_prep_avg,0.1,1,,384.28,-0.16,1,,217.36,-4.2,1,,95.73,-4.08,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_prep_var,-0.01,1,,384.28,-0.01,1,,217.36,0.78,1,,95.73,0.68,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,elevation,-0.07,1,,384.28,0.11,1,,217.36,-0.44,1,,95.73,-0.31,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,mammals,0,1,,384.28,-0.01,1,,217.36,-0.67,1,,95.73,0,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,plants,-0.03,1,,384.28,0.11,1,,217.36,0.77,1,,95.73,0.49,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,dist_coastline,-0.02,1,,384.28,0.01,1,,217.36,-2.94,1,,95.73,-1.75,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,dist_freshwater,-0,1,,384.28,0,1,,217.36,-0,1,,95.73,-0,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,mammals:plants,0.03,1,,384.28,-0.05,1,,217.36,0.09,1,,95.73,-0.14,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_prep_avg:mammals,0.06,1,,384.28,0.04,1,,217.36,-0.98,1,,95.73,-0.4,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_prep_avg:plants,0.02,1,,384.28,0.03,1,,217.36,0.47,1,,95.73,0.16,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_temp_avg:mammals,-0.08,1,,384.28,-0.02,1,,217.36,-0.25,1,,95.73,-0.19,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_temp_avg:elevation,-0.03,1,,384.28,0.09,1,,217.36,0.23,1,,95.73,-0.06,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_prep_avg:start_prep_var,0,1,,384.28,-0,1,,217.36,0.54,1,,95.73,0.53,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_prep_var:dist_coastline,0,1,,384.28,-0,1,,217.36,0.52,1,,95.73,0.3,1,,107.52
"Does membership in this religious group require participation in small-scale rituals (private, household):",5152,start_prep_avg:mammals:plants,-0.02,1,,384.28,0.03,1,,217.36,0.17,1,,95.73,0.02,1,,107.52
