Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Fishing,5227_3,(Intercept),0.48,0.0011,1,,341.27,0.08,0.72,1,,215.61,2.12,0.41,1,,149.19,3.57,0.14,1,,154.72
Fishing,5227_3,start_temp_avg,-0.07,0.23,1,,341.27,-0.38,4.4e-4,0.26,,215.61,-0.09,0.61,1,,149.19,0.02,0.87,1,,154.72
Fishing,5227_3,start_prep_avg,-0.05,0.69,1,,341.27,0.05,0.75,1,,215.61,1.16,0.45,1,,149.19,1.97,0.17,1,,154.72
Fishing,5227_3,start_prep_var,-0.02,0.24,1,,341.27,-0.01,0.68,1,,215.61,-0.21,0.57,1,,149.19,-0.42,0.22,1,,154.72
Fishing,5227_3,elevation,-0.2,0.026,1,,341.27,-0.75,7.5e-6,0.013,*,215.61,-0.05,0.81,1,,149.19,0.08,0.69,1,,154.72
Fishing,5227_3,mammals,-0.08,0.22,1,,341.27,-0.05,0.85,1,,215.61,-0.15,0.41,1,,149.19,-0.2,0.21,1,,154.72
Fishing,5227_3,plants,0.05,0.3,1,,341.27,-0.03,0.86,1,,215.61,-0.01,0.98,1,,149.19,-0.11,0.58,1,,154.72
Fishing,5227_3,dist_coastline,-0.21,0.25,1,,341.27,-0.35,0.12,1,,215.61,-0.72,0.23,1,,149.19,-0.59,0.3,1,,154.72
Fishing,5227_3,dist_freshwater,0,0.91,1,,341.27,0,0.4,1,,215.61,-0,0.21,1,,149.19,-0,0.23,1,,154.72
Fishing,5227_3,mammals:plants,0.09,0.085,1,,341.27,0.17,0.41,1,,215.61,-0.01,0.95,1,,149.19,-0.02,0.9,1,,154.72
Fishing,5227_3,start_prep_avg:mammals,-0.08,0.12,1,,341.27,0.12,0.6,1,,215.61,-0.15,0.31,1,,149.19,-0.14,0.32,1,,154.72
Fishing,5227_3,start_prep_avg:plants,-0.01,0.86,1,,341.27,-0.08,0.46,1,,215.61,-0.01,0.97,1,,149.19,-0.05,0.79,1,,154.72
Fishing,5227_3,start_temp_avg:mammals,0.09,0.087,1,,341.27,-0.03,0.78,1,,215.61,0.15,0.21,1,,149.19,0.21,0.056,1,,154.72
Fishing,5227_3,start_temp_avg:elevation,-0.06,0.32,1,,341.27,-0.43,1.8e-4,0.15,,215.61,0.06,0.6,1,,149.19,0.05,0.64,1,,154.72
Fishing,5227_3,start_prep_avg:start_prep_var,0.01,0.73,1,,341.27,0.02,0.48,1,,215.61,-0.16,0.39,1,,149.19,-0.24,0.18,1,,154.72
Fishing,5227_3,start_prep_var:dist_coastline,0.04,0.18,1,,341.27,0.06,0.15,1,,215.61,0.11,0.25,1,,149.19,0.09,0.34,1,,154.72
Fishing,5227_3,start_prep_avg:mammals:plants,0,0.95,1,,341.27,-0.03,0.73,1,,215.61,-0.03,0.88,1,,149.19,-0.07,0.71,1,,154.72
