Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
NA,5227,1,1,1.02,1.15,1.17,,,,,
NA,5227,1,2,1.3,1.16,1.17,1.28,,,,
NA,5227,1,3,1.31,1.25,1.22,1.28,1.2,,,
NA,5227,1,4,1.6,1.26,1.23,1.33,1.72,1.78,,
NA,5227,1,5,1.74,1.27,1.23,1.33,1.94,1.93,1.19,
NA,5227,1,6,1.74,1.28,1.25,1.66,2.02,2.06,1.2,1.43
NA,5227,2,1,1.09,1.17,1.26,,,,,
NA,5227,2,2,1.42,1.17,1.27,1.31,,,,
NA,5227,2,3,1.63,2.84,1.27,1.35,3,,,
NA,5227,2,4,1.91,3.23,1.27,1.37,3.56,2.67,,
NA,5227,2,5,1.96,3.28,1.28,1.37,3.56,2.69,1.06,
NA,5227,2,6,1.96,3.31,1.42,2.31,3.61,2.7,1.08,2.04
NA,5227,3,1,1.07,2.99,2.88,,,,,
NA,5227,3,2,1.54,3.22,3.02,1.42,,,,
NA,5227,3,3,1.55,3.78,3.4,1.46,1.19,,,
NA,5227,3,4,2.03,3.8,3.42,1.63,1.24,1.52,,
NA,5227,3,5,2.24,3.8,3.42,1.64,1.35,1.78,1.26,
NA,5227,3,6,2.29,3.82,3.42,1.9,1.67,1.86,1.27,1.41
NA,5227,4,1,1.03,2.78,2.73,,,,,
NA,5227,4,2,1.44,2.92,2.83,1.38,,,,
NA,5227,4,3,1.48,3.41,3.16,1.4,1.19,,,
NA,5227,4,4,1.95,3.39,3.15,1.57,1.23,1.5,,
NA,5227,4,5,2.14,3.4,3.16,1.59,1.31,1.71,1.23,
NA,5227,4,6,2.18,3.42,3.16,1.86,1.67,1.8,1.23,1.47
